gene_id,gene_name,gene_length,twoD_1,twoD_2,twoD_3,twoD_4,dynamic_2,dynamic_3,dynamic_4,dynamic_5,static_1,static_2,static_4,static_5
ENSBTAG00000049991,NA,2392,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000017338,FAM205C,1391,0,6,18,0,3,0,0,0,19,1,8,23
ENSBTAG00000012809,PHF24,3605,8,20,24,35,22,3,11,3,0,27,25,6
ENSBTAG00000054568,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000018318,DNAJB5,3377,241,1043,216,132,176,412,221,205,124,145,347,1105
ENSBTAG00000051343,NA,3645,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000015000,VCP,3343,2358,3372,638,726,1638,3406,1638,1527,1088,970,1062,1633
ENSBTAG00000015005,FANCG,2448,19,64,77,256,64,218,59,36,32,53,46,36
ENSBTAG00000044135,PIGO,3528,11,12,21,1,29,62,16,15,11,0,3,21
ENSBTAG00000011388,STOML2,1653,6799,9120,6871,2260,7158,3681,4421,3225,3959,1934,7536,11347
ENSBTAG00000011394,FAM214B,3667,0,0,0,0,11,44,0,8,0,0,0,1
ENSBTAG00000011397,UNC13B,6784,762,617,243,254,334,652,239,447,585,528,631,355
ENSBTAG00000011402,NA,4352,0,0,0,0,0,0,0,0,0,0,0,4
ENSBTAG00000011403,RUSC2,6019,0,2,0,1,2,6,0,0,0,0,0,0
ENSBTAG00000049403,bta-mir-2285da,59,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000032509,FAM166B,1031,0,9,3,23,12,46,0,0,0,4,5,11
ENSBTAG00000011406,TESK1,2695,0,2,3,0,0,11,0,3,0,0,0,3
ENSBTAG00000011409,CD72,2816,10,9,9,14,18,2,13,3,13,9,3,6
ENSBTAG00000011411,SIT1,1168,0,6,6,0,0,3,0,0,0,0,4,0
ENSBTAG00000042458,RF00030,278,3,4,6,2,2,0,1,3,3,0,2,3
ENSBTAG00000011413,CCDC107,825,71,22,270,125,67,102,12,11,24,24,34,67
ENSBTAG00000011416,ARHGEF39,1397,61,125,246,255,72,102,96,90,49,70,106,112
ENSBTAG00000011420,CA9,1593,8533,7863,8988,5432,7271,2859,2907,3126,5658,2816,7409,9090
ENSBTAG00000011424,TPM2,2971,27,124,32,256,344,1371,54,199,71,45,101,215
ENSBTAG00000050230,bta-mir-12021,57,0,0,0,0,0,6,0,0,0,0,0,0
ENSBTAG00000025868,TLN1,8409,49,217,36,58,136,266,122,78,17,75,60,77
ENSBTAG00000011429,CREB3,1539,25,47,11,7,45,203,7,49,7,1,6,24
ENSBTAG00000011431,GBA2,3089,44,54,20,34,38,19,12,15,24,0,18,12
ENSBTAG00000011433,RGP1,2370,19,37,78,40,33,153,35,27,20,9,35,67
ENSBTAG00000038777,MSMP,420,0,10,5,1,4,0,0,0,0,0,0,3
ENSBTAG00000049289,NA,2074,0,0,0,0,0,0,0,0,0,0,1,0
ENSBTAG00000011434,NPR2,4130,66,52,19,69,48,100,24,46,38,35,33,31
ENSBTAG00000011442,SPAG8,2259,13,18,5,30,10,48,22,12,2,12,12,6
ENSBTAG00000011444,HINT2,901,110,177,291,169,202,835,31,106,97,32,151,388
ENSBTAG00000005222,FAM221B,1224,0,4,0,0,0,0,0,0,0,0,10,6
ENSBTAG00000011445,TMEM8B,2793,1,9,7,0,10,16,4,8,0,10,3,0
ENSBTAG00000053732,NA,972,0,0,0,0,0,0,0,0,0,0,0,2
ENSBTAG00000052564,NA,975,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052220,NA,939,0,1,5,15,0,0,4,0,0,0,0,0
ENSBTAG00000048744,NA,939,0,0,3,0,0,0,0,0,0,0,0,0
ENSBTAG00000053868,NA,939,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052334,NA,948,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000049107,NA,858,0,1,0,0,0,0,0,0,0,0,0,1
ENSBTAG00000052234,NA,948,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054526,NA,939,0,0,2,0,0,0,0,0,0,0,0,3
ENSBTAG00000049192,NA,939,0,9,2,0,3,0,0,0,0,6,3,6
ENSBTAG00000052875,NA,963,0,0,0,0,0,0,0,0,0,2,0,0
ENSBTAG00000054837,NA,939,0,3,17,2,2,9,2,5,0,1,0,8
ENSBTAG00000055183,HRCT1,345,0,15,0,0,0,0,0,0,2,0,6,6
ENSBTAG00000050436,SPAAR,228,0,3,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000049084,OR2S2,960,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000036921,RF00001,116,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052921,NA,960,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054503,NA,960,0,0,0,0,0,0,0,0,0,0,0,1
ENSBTAG00000051473,NA,957,0,0,4,0,0,0,0,0,0,0,0,0
ENSBTAG00000048381,NA,957,0,1,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000049595,NA,960,0,0,0,0,0,0,1,0,0,0,0,0
ENSBTAG00000043854,RF00265,154,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000043153,RF00619,126,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000000076,RECK,5250,65,31,47,90,35,75,13,44,40,10,17,52
ENSBTAG00000049739,NA,153,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052319,RF02275,77,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000045397,RF00561,119,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054769,NA,246,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000000078,GLIPR2,2699,44,100,147,362,311,1153,31,330,102,34,197,339
ENSBTAG00000021696,CCIN,2392,0,1,33,37,0,0,3,0,0,11,7,1
ENSBTAG00000001137,CLTA,1154,845,1119,929,985,610,2204,433,406,1004,400,638,660
ENSBTAG00000001142,GNE,5667,277,49,97,412,151,636,93,209,395,112,126,80
ENSBTAG00000043344,RF00156,132,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000050221,NA,288,0,0,0,0,0,0,1,0,0,1,0,0
ENSBTAG00000005519,RNF38,3619,664,524,323,486,336,1108,530,677,509,984,674,389
ENSBTAG00000021686,MELK,2502,35946,10337,12329,19352,11215,7953,10793,12068,25679,13391,19390,11475
ENSBTAG00000012498,PAX5,1832,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000025859,ZCCHC7,1641,868,461,494,606,302,428,428,426,903,749,731,514
ENSBTAG00000054508,NA,1587,0,0,0,0,0,0,0,0,0,0,3,0
ENSBTAG00000019299,GRHPR,1183,599,2582,5717,2740,926,1473,1184,465,720,766,993,1430
ENSBTAG00000007761,ZBTB5,2609,247,385,268,413,297,334,329,352,195,382,340,217
ENSBTAG00000049177,RF00026,107,0,0,0,0,0,7,0,0,0,0,0,0
ENSBTAG00000012243,POLR1E,1629,371,423,3706,3290,217,652,183,163,382,246,414,286
ENSBTAG00000012262,FBXO10,4738,260,461,265,289,406,400,795,430,233,484,224,265
ENSBTAG00000032777,TOMM5,553,789,588,1773,3295,1115,4364,118,842,647,402,447,813
ENSBTAG00000046574,FRMPD1,5720,7,35,21,1,25,34,12,9,22,15,14,14
ENSBTAG00000018922,TRMT10B,1273,1357,1231,524,877,451,605,214,293,812,470,668,734
ENSBTAG00000018925,EXOSC3,1094,5066,3269,4361,2511,2270,2258,2248,3459,3956,1649,5778,2271
ENSBTAG00000050943,NA,1708,2247,1380,1332,1476,1046,1326,1966,1492,2550,2316,2264,1467
ENSBTAG00000014934,DCAF10,1695,1,24,4,1,18,31,0,13,1,7,24,32
ENSBTAG00000014936,SLC25A51,3344,3141,994,1328,1355,1176,1510,1353,1429,2007,1048,1914,989
ENSBTAG00000014922,SHB,2861,44,54,44,18,12,29,31,10,10,13,41,47
ENSBTAG00000044336,bta-mir-2472,71,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000045380,bta-mir-2473,72,0,0,0,0,0,0,0,0,5,0,0,1
ENSBTAG00000044675,bta-mir-2474,59,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000038411,NA,558,0,2,5,1,2,1,0,1,2,3,2,3
ENSBTAG00000020385,ALDH1B1,1545,0,4,29,0,0,0,0,0,0,9,0,16
ENSBTAG00000014078,IGFBPL1,2809,8,20,46,10,48,26,17,42,51,40,40,32
ENSBTAG00000040034,NA,5376,0,2,5,17,1,0,0,1,0,7,0,8
ENSBTAG00000015378,CCDC180,4948,0,11,21,7,8,29,2,5,8,5,2,15
ENSBTAG00000003719,TDRD7,3717,2761,1953,1224,1907,1181,2080,2111,1634,2379,1786,2948,1711
ENSBTAG00000049761,NA,456,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000014719,TMOD1,2775,19464,6941,15793,25672,9381,5107,6766,4496,16525,6330,15349,7598
ENSBTAG00000014722,TSTD2,2864,74,95,92,305,73,178,31,39,70,40,48,95
ENSBTAG00000009732,NCBP1,4928,2523,1277,1073,2172,785,762,889,946,1642,1333,1575,1140
ENSBTAG00000009734,XPA,3437,2647,3013,1028,738,1340,1628,1472,1377,1584,1638,1380,2386
ENSBTAG00000049409,NA,208,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000014760,FOXE1,1122,0,0,1,0,0,0,0,0,0,0,0,2
ENSBTAG00000019238,TRMO,1896,285,160,214,554,177,169,142,192,248,110,366,215
ENSBTAG00000032206,HEMGN,2181,64,55,57,154,32,5,34,49,89,133,89,65
ENSBTAG00000021367,ANP32B,1283,9636,7132,2465,3967,3270,9838,4190,3510,5395,3847,6546,6148
ENSBTAG00000019023,NANS,1270,29,72,27,1,82,595,10,43,51,15,48,112
ENSBTAG00000024851,TRIM14,4229,30,3,6,0,13,0,11,7,24,12,22,12
ENSBTAG00000007659,CORO2A,4455,12,31,31,34,56,68,5,23,13,52,24,16
ENSBTAG00000019550,TBC1D2,5600,10,23,20,0,22,1,10,12,1,10,0,4
ENSBTAG00000013810,GABBR2,2694,0,3,10,0,2,23,0,0,6,0,3,4
ENSBTAG00000029115,RF00001,119,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000005133,ANKS6,2609,0,6,7,14,0,10,0,0,0,2,0,3
ENSBTAG00000009037,GALNT12,3308,1,9,14,72,8,2,22,20,24,2,11,6
ENSBTAG00000010082,COL15A1,5774,0,6,20,57,7,2,7,2,1,40,0,5
ENSBTAG00000018035,TGFBR1,2172,380,338,170,108,20,106,105,99,486,73,227,307
ENSBTAG00000047836,NA,300,1,4,19,39,7,37,1,8,2,10,3,16
ENSBTAG00000002454,ALG2,1833,82,57,43,1,39,74,32,55,71,88,78,83
ENSBTAG00000002457,SEC61B,971,8069,8551,13592,10641,9256,8735,4379,5043,10066,4201,11348,11758
ENSBTAG00000054262,NA,3301,0,0,0,0,0,1,0,0,0,0,0,0
ENSBTAG00000049687,NA,132,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054114,NA,125,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000019143,NA,2211,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054293,NA,258,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000001864,NR4A3,3397,81,119,48,81,60,64,38,78,127,34,83,43
ENSBTAG00000008016,STX17,1831,1341,1450,934,972,689,550,821,497,2007,1364,1666,1403
ENSBTAG00000009804,ERP44,1960,5997,5222,3255,4220,3307,4287,4981,3747,9150,4053,8449,4558
ENSBTAG00000009806,INVS,5371,84,92,156,142,50,200,80,75,102,57,106,102
ENSBTAG00000044003,TEX10,3123,3327,2643,1189,1046,1426,1014,1284,1348,2382,1306,3254,2633
ENSBTAG00000035708,NA,1397,0,0,5,0,0,0,3,0,0,0,6,0
ENSBTAG00000035709,NA,1044,0,0,3,0,2,0,10,0,0,9,0,0
ENSBTAG00000050097,NA,1259,0,1,0,0,0,5,0,0,0,0,0,0
ENSBTAG00000037111,RF00001,104,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000047647,NA,792,1,0,2,9,3,4,0,5,0,1,0,1
ENSBTAG00000006446,CNTNAP3,2496,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000042282,RF00100,281,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000043766,RF00026,104,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000055232,NA,1086,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000012855,LPL,3575,8,0,1,0,17,85,3,35,16,0,36,2
ENSBTAG00000050508,NA,1362,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000020788,SLC18A1,1899,1,0,4,0,0,0,0,0,0,0,0,0
ENSBTAG00000018646,ATP6V1B2,2934,3364,4411,1946,1627,1330,2830,2129,2490,2618,2105,4623,3900
ENSBTAG00000000841,LZTS1,6096,48,63,16,11,191,748,28,321,68,12,24,89
ENSBTAG00000004170,NA,240,1,2,1,0,1,1,2,1,2,0,1,0
ENSBTAG00000012266,NA,1839,0,6,0,0,1,4,1,3,6,0,2,6
ENSBTAG00000020665,GFRA2,3442,0,24,14,0,17,169,8,50,41,0,24,27
ENSBTAG00000029075,RF00001,108,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000003341,DOK2,3053,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000047628,XPO7,4917,103,95,77,124,114,321,134,172,40,122,57,45
ENSBTAG00000046918,NPM2,1151,31480,43695,9497,5592,10625,10584,4529,3239,21659,17393,19100,24398
ENSBTAG00000046951,FGF17,1255,0,5,0,4,9,0,1,0,0,1,13,1
ENSBTAG00000045887,DMTN,2235,0,0,2,0,0,0,0,0,0,0,0,0
ENSBTAG00000014361,FAM160B2,2595,0,15,0,0,0,0,0,3,0,0,6,0
ENSBTAG00000003483,NUDT18,1460,0,12,7,0,4,13,0,0,0,0,0,23
ENSBTAG00000012036,HR,5298,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000009504,REEP4,2118,58,627,178,39,372,173,516,355,104,171,248,428
ENSBTAG00000004578,LGI3,1647,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000012560,SFTPC,1646,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000000917,BMP1,3579,19,11,0,24,11,113,0,21,5,0,0,7
ENSBTAG00000015757,PHYHIP,3472,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000029761,bta-mir-320a-1,82,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000010036,POLR3D,3196,440,581,504,626,430,571,340,371,222,351,280,465
ENSBTAG00000015835,PIWIL2,2910,81,42,62,6,21,21,76,10,53,34,62,90
ENSBTAG00000019225,SLC39A14,4825,269,80,190,519,243,1775,269,571,274,206,233,152
ENSBTAG00000020133,PPP3CC,2202,65,70,127,248,122,647,57,91,148,74,83,75
ENSBTAG00000052118,NA,210,10,0,0,0,1,0,0,0,0,1,0,0
ENSBTAG00000014401,SORBS3,3732,2,18,17,8,13,95,17,29,5,23,1,24
ENSBTAG00000054318,NA,1095,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000007369,PDLIM2,2024,2,35,88,109,8,22,25,10,25,2,3,21
ENSBTAG00000005466,NA,990,0,4,48,0,0,0,5,0,24,4,0,8
ENSBTAG00000005469,CCAR2,3888,104,236,84,78,134,603,182,153,87,157,67,92
ENSBTAG00000005470,BIN3,1506,311,598,759,552,325,775,187,162,188,81,402,478
ENSBTAG00000019293,EGR3,2695,6,2,0,0,0,0,0,6,0,0,0,0
ENSBTAG00000015416,PEBP4,1890,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000050001,NA,618,0,0,1,0,0,0,0,0,0,0,3,0
ENSBTAG00000035958,RHOBTB2,5125,6,0,0,9,0,11,8,0,1,1,0,4
ENSBTAG00000013528,CHMP7,2874,79,160,130,193,111,139,273,160,141,86,101,78
ENSBTAG00000025830,R3HCC1,3909,0,15,16,26,12,131,1,9,0,1,4,14
ENSBTAG00000006214,LOXL2,3670,0,0,0,1,6,1,0,18,0,0,2,0
ENSBTAG00000042211,RF00410,136,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000006768,ENTPD4,4926,798,1093,474,327,622,1199,1280,1212,784,1180,774,771
ENSBTAG00000052721,NA,2152,0,0,0,0,1,0,1,0,17,1,0,0
ENSBTAG00000019099,SLC25A37,2007,0,0,0,0,3,13,0,4,0,0,1,0
ENSBTAG00000001221,NKX3-1,1271,57,481,78,33,105,121,84,49,28,104,179,311
ENSBTAG00000014008,NKX2-6,903,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052751,bta-mir-2285aj,81,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000051369,NA,459,0,0,0,0,0,11,1,1,5,0,2,0
ENSBTAG00000001687,STC1,2451,1586,3108,2213,1324,6329,62994,669,16709,7921,565,1165,8964
ENSBTAG00000048755,NA,318,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000038064,NA,942,9,6,1,44,190,154,123,381,163,291,17,11
ENSBTAG00000037929,ADAM28,3101,0,0,7,0,6,71,3,1,0,9,11,45
ENSBTAG00000001125,ADAMDEC1,2341,0,0,0,0,22,3,0,21,43,0,0,5
ENSBTAG00000039171,ADAM7,2572,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000039530,NEFM,3315,11,2,0,8,0,0,3,0,4,1,9,0
ENSBTAG00000021949,NEFL,2179,392,360,345,1015,186,127,290,220,172,621,213,387
ENSBTAG00000047941,RF00001,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000043078,RF00026,104,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000015513,DOCK5,7137,512,331,199,128,147,275,287,186,202,437,333,222
ENSBTAG00000050272,bta-mir-2285ae,61,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000000164,GNRH1,506,4,0,0,3,5,0,0,0,0,0,0,0
ENSBTAG00000012382,KCTD9,1170,279,211,333,447,218,274,186,134,271,315,176,137
ENSBTAG00000002756,CDCA2,3366,3593,3351,2078,1929,1696,1654,2279,1814,2885,2970,4208,2349
ENSBTAG00000040390,EBF2,3602,9,35,29,3,35,3,10,5,93,29,79,75
ENSBTAG00000044485,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000043103,RF00393,137,0,0,0,0,0,2,0,0,0,0,0,0
ENSBTAG00000050316,bta-mir-2404-2,67,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000049197,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000018317,PPP2R2A,2679,1198,758,682,1312,531,1461,444,680,1098,1305,563,419
ENSBTAG00000021307,BNIP3L,1318,6421,4645,2083,3648,2556,4376,1198,1738,4506,2623,4586,2977
ENSBTAG00000037986,PNMA2,4358,45,21,1,0,9,11,2,12,1,0,0,15
ENSBTAG00000018373,DPYSL2,5033,84,90,33,182,167,1176,61,333,96,46,37,40
ENSBTAG00000052390,RF00001,119,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000031632,ADRA1A,3387,4,0,0,0,0,0,0,0,0,4,0,0
ENSBTAG00000017627,STMN4,2637,2,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000009958,TRIM35,1482,0,0,0,0,0,4,0,0,0,0,0,0
ENSBTAG00000005958,PTK2B,4147,0,0,4,0,1,1,0,1,0,0,0,2
ENSBTAG00000002252,CHRNA2,3183,3,24,1,0,23,149,5,5,22,0,22,49
ENSBTAG00000015241,EPHX2,2192,316,188,73,428,492,1753,26,637,297,30,236,473
ENSBTAG00000026748,GULO,2082,0,13,8,0,17,94,2,11,1,14,11,35
ENSBTAG00000015027,NA,1158,0,0,1,0,4,1,0,0,0,0,0,4
ENSBTAG00000013947,APTX,1821,151,148,1039,807,134,100,96,87,206,104,89,207
ENSBTAG00000016265,DNAJA1,1449,12758,13904,10364,8962,6914,12221,9276,8438,13444,7998,15920,18759
ENSBTAG00000019564,SMU1,1980,4227,1747,2294,2017,1475,1861,2111,1800,4812,1309,4121,2319
ENSBTAG00000015249,B4GALT1,4130,423,570,293,388,518,1111,838,757,475,689,504,751
ENSBTAG00000051957,bta-mir-12061,48,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000051334,NA,1068,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000032093,SPINK4,380,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000017845,BAG1,1760,25,129,68,67,213,1169,153,209,182,118,171,106
ENSBTAG00000012383,CHMP5,1338,9827,3247,3561,5289,2660,5466,3448,3941,7372,5001,6005,3457
ENSBTAG00000012385,NFX1,4937,128,56,76,124,58,130,69,50,38,37,54,61
ENSBTAG00000020105,AQP7,3048,0,0,0,0,0,0,0,0,0,0,7,4
ENSBTAG00000008493,AQP3,1919,11,1,26,4,10,63,57,20,18,46,8,9
ENSBTAG00000003323,NOL6,4548,139,101,95,102,147,157,95,163,77,157,50,79
ENSBTAG00000054773,UBE2R2,2421,538,411,202,264,175,370,419,299,354,554,285,200
ENSBTAG00000000695,UBAP2,4430,1484,1446,283,308,702,1429,973,703,485,1200,835,848
ENSBTAG00000045135,RF01191,81,0,0,0,0,0,0,2,0,0,0,0,0
ENSBTAG00000021573,DCAF12,3963,1549,1412,1148,2014,1591,1819,2721,2600,1857,2372,1369,1132
ENSBTAG00000000320,UBAP1,3102,194,364,165,256,200,866,346,299,253,150,141,296
ENSBTAG00000012921,KIF24,5008,312,399,161,213,253,169,340,296,178,399,150,207
ENSBTAG00000031793,NUDT2,1484,15024,14528,16270,10485,9510,4994,5268,4716,12994,7563,16371,15749
ENSBTAG00000008376,MYORG,4334,0,0,2,0,4,15,0,1,5,0,0,8
ENSBTAG00000008537,FAM219A,1460,0,0,0,0,2,0,0,0,0,0,0,0
ENSBTAG00000008538,DNAI1,3354,17,59,27,9,42,8,32,5,17,47,42,54
ENSBTAG00000005495,NA,1036,8,7,18,22,24,70,22,28,28,10,4,12
ENSBTAG00000008539,ENHO,1193,3,12,8,3,5,6,2,5,0,10,0,5
ENSBTAG00000015361,CNTFR,3244,8,48,11,2,48,20,8,12,3,3,1,58
ENSBTAG00000016295,RPP25L,1473,17,24,4,15,42,291,2,39,8,11,41,78
ENSBTAG00000018883,DCTN3,874,293,539,400,800,749,2063,62,264,485,78,360,904
ENSBTAG00000025792,ARID3C,1248,0,2,8,0,0,0,0,2,0,0,0,12
ENSBTAG00000015804,SIGMAR1,1687,94,508,65,99,153,351,56,79,63,77,218,375
ENSBTAG00000015807,GALT,1985,0,107,121,32,45,116,20,13,27,5,78,117
ENSBTAG00000014907,IL11RA,2020,0,4,3,0,42,92,6,44,0,0,1,16
ENSBTAG00000014908,CCL27,408,0,0,7,0,0,0,0,2,0,0,0,0
ENSBTAG00000049217,NA,680,7,23,65,140,20,52,7,14,9,11,13,44
ENSBTAG00000050412,RF00026,107,1,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000012684,CCL19,650,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000053396,env,1434,3,1,1,0,1,0,0,0,1,2,8,0
ENSBTAG00000010161,CCL21,1135,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000051205,NA,2010,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052680,NA,705,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000021751,RASEF,6000,32,81,46,91,64,8,38,49,0,63,68,33
ENSBTAG00000051136,bta-mir-2285br,60,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000005247,FRMD3,4255,401,330,274,229,279,354,270,231,387,465,566,328
ENSBTAG00000047103,IDNK,874,74,91,122,323,79,188,19,36,102,15,71,72
ENSBTAG00000014827,UBQLN1,2379,1328,937,588,1052,947,1090,874,1319,969,1072,955,921
ENSBTAG00000023523,GKAP1,1809,1778,763,1086,2392,906,1219,2373,1835,1497,2723,846,679
ENSBTAG00000020436,KIF27,5310,204,97,61,121,61,295,89,39,362,234,222,115
ENSBTAG00000006478,C8H9orf64,1859,2728,1050,748,1800,871,942,876,1006,1996,1423,1370,709
ENSBTAG00000021131,HNRNPK,2545,3715,2896,1129,875,1713,8152,1317,1912,1824,1434,3150,2458
ENSBTAG00000029909,MIR7-1,147,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000021135,RMI1,2198,897,282,540,715,359,642,359,482,1051,507,533,376
ENSBTAG00000018280,SLC28A3,2951,167,165,159,25,79,127,156,188,251,196,221,115
ENSBTAG00000010647,NTRK2,4867,0,14,185,122,60,48,22,28,17,48,46,59
ENSBTAG00000050767,NA,564,1,0,1,2,2,0,0,2,0,1,2,4
ENSBTAG00000045242,RF00026,103,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000001257,AGTPBP1,4133,1094,193,228,598,266,557,306,434,639,666,332,156
ENSBTAG00000001016,NAA35,2956,16255,8468,4424,6481,6904,5478,6842,7719,9267,9774,10102,6843
ENSBTAG00000031569,GOLM1,1232,5,2,3,17,24,14,1,0,12,3,13,5
ENSBTAG00000020516,NA,962,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000053156,ISCA1,2111,944,1631,1506,1515,1181,4068,837,1639,1634,845,1587,2004
ENSBTAG00000001737,TUT7,5052,9442,3712,2910,1812,2759,2865,1744,1985,7250,3963,4886,3539
ENSBTAG00000053134,NA,2838,1,1,0,0,8,1,0,0,0,1,0,0
ENSBTAG00000054075,NA,1433,13,11,4,0,6,1,3,1,17,0,12,1
ENSBTAG00000054456,NA,1986,0,3,24,0,0,0,1,0,0,4,4,2
ENSBTAG00000046803,GAS1,1170,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000049266,NA,2946,7,12,14,5,5,56,5,0,28,13,4,15
ENSBTAG00000044380,RF00156,147,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000000738,DAPK1,6369,74,79,40,58,39,235,57,141,11,127,28,56
ENSBTAG00000000720,CTSL,1816,3,1,3,3,7,26,12,20,5,4,1,4
ENSBTAG00000019554,FBP2,2328,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000009733,FBP1,1613,0,5,8,0,13,81,0,5,0,1,4,14
ENSBTAG00000049470,NA,1260,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000000699,AOPEP,3886,253,388,293,194,245,460,238,164,147,98,430,333
ENSBTAG00000053061,bta-mir-2475,71,0,0,0,0,0,0,0,0,0,1,3,0
ENSBTAG00000029989,bta-mir-10174,87,0,0,1,0,0,0,0,0,0,0,0,0
ENSBTAG00000029846,bta-mir-27b,104,0,2,2,0,0,0,0,0,0,0,0,0
ENSBTAG00000029954,NA,85,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000017195,FANCC,2680,182,120,62,91,86,254,67,89,224,93,133,125
ENSBTAG00000043819,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000009903,PTCH1,8153,5,90,60,32,26,62,60,97,84,64,65,59
ENSBTAG00000049821,NA,997,0,0,2,0,0,0,0,0,0,0,0,0
ENSBTAG00000020626,ERCC6L2,7543,2745,615,474,1287,781,1454,784,1353,1934,1696,1143,351
ENSBTAG00000053599,NA,225,11,0,0,1,0,0,2,0,7,0,0,0
ENSBTAG00000016867,HSD17B3,1666,0,7,7,0,13,2,11,2,27,11,20,17
ENSBTAG00000043131,RF00026,106,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000019939,SLC35D2,1566,0,1,0,0,12,4,0,5,0,0,0,6
